#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
4.9%	1553	-26.80346678719345	233.83339087723132	0.0446	0:58
4.9%	1554	-26.802258726691555	233.81401804065558	0.0446	0:58
4.9%	1555	-26.801051169488527	233.794653272879	0.0446	0:58
4.9%	1556	-26.799844117299575	233.7752966075163	0.0446	0:58
4.9%	1557	-26.798637571838952	233.75594806859144	0.0446	0:58
4.9%	1558	-26.797431534819665	233.736607679502	0.0446	0:58
4.9%	1559	-26.796226007953937	233.71727547391592	0.0446	0:58
4.9%	1560	-26.795020992952338	233.69795147841432	0.0446	0:58
4.9%	1561	-26.793816491524964	233.67863571558314	0.0446	0:58
4.9%	1562	-26.792612505380735	233.65932821731204	0.0446	0:58
4.9%	1563	-26.791409036227442	233.64002901005375	0.0446	0:58
4.9%	1564	-26.790206085771047	233.62073811919723	0.0446	0:58
4.9%	1565	-26.789003655717842	233.60145557197626	0.0446	0:58
4.9%	1566	-26.78780174777222	233.58218140566996	0.0446	0:59
4.9%	1567	-26.786600363637188	233.56291563322526	0.0446	0:59
4.9%	1568	-26.78539950501531	233.5436582889463	0.0446	0:59
4.9%	1569	-26.784199173607604	233.52440939841716	0.0446	0:59
4.9%	1570	-26.782999371114354	233.50516899152066	0.0445	0:59
4.9%	1571	-26.781800099234406	233.48593709593024	0.0445	0:59
4.9%	1572	-26.78060135966551	233.46671373432048	0.0445	0:59
4.9%	1573	-26.77940315410486	233.44749893313838	0.0445	0:59
4.9%	1574	-26.778205484247653	233.42829272279224	0.0445	0:59
4.9%	1575	-26.77700835178888	233.40909513349908	0.0445	0:59
4.9%	1576	-26.775811758421415	233.3899061874967	0.0445	0:59
4.9%	1577	-26.774615705837984	233.3707259112805	0.0445	0:59
4.9%	1578	-26.773420195729805	233.35155433494876	0.0445	0:59
4.9%	1579	-26.772225229786493	233.33239148511038	0.0445	0:59
4.9%	1580	-26.771030809697724	233.31323738866553	0.0445	0:59
4.9%	1581	-26.769836937150465	233.29409207501774	0.0445	0:59
4.9%	1582	-26.76864361383198	233.27495557371375	0.0445	0:59
4.9%	1583	-26.76745084142745	233.2558279050083	0.0445	0:59
5.0%	1584	-26.766258621621695	233.23670909902015	0.0445	0:59
5.0%	1585	-26.765066956097677	233.2175991770424	0.0445	0:59
5.0%	1586	-26.763875846537566	233.19849817366443	0.0445	0:59
5.0%	1587	-26.76268529462213	233.17940611206478	0.0445	0:59
5.0%	1588	-26.76149530203159	233.1603230218303	0.0445	0:59
5.0%	1589	-26.760305870444324	233.1412489206499	0.0445	0:59
5.0%	1590	-26.759117001537795	233.12218384710266	0.0445	0:59
5.0%	1591	-26.75792869698842	233.103127826422	0.0445	0:59
5.0%	1592	-26.756740958471575	233.0840808813387	0.0445	0:59
5.0%	1593	-26.755553787660954	233.06504303833444	0.0445	0:59
5.0%	1594	-26.75436718622956	233.04601432733293	0.0445	0:59
5.0%	1595	-26.753181155849138	233.02699477065903	0.0444	0:59
5.0%	1596	-26.75199569819019	233.00798440174052	0.0444	0:59
5.0%	1597	-26.750810814921877	232.98898324337176	0.0444	0:59
5.0%	1598	-26.749626507712566	232.96999132821864	0.0444	0:59
5.0%	1599	-26.74844277822903	232.95100867476572	0.0444	0:59
5.0%	1600	-26.747259628137332	232.93203530684374	0.0444	0:59
5.0%	1601	-26.746077059101687	232.91307126011966	0.0444	0:59
5.0%	1602	-26.744895072785837	232.8941165574517	0.0444	0:59
5.0%	1603	-26.743713670851932	232.87517122170016	0.0444	0:59
5.0%	1604	-26.742532854961	232.8562352926921	0.0444	0:59
5.0%	1605	-26.74135262677281	232.8373087887556	0.0444	0:59
5.0%	1606	-26.740172987946004	232.81839173361266	0.0444	0:59
5.0%	1607	-26.738993940137938	232.79948415221892	0.0444	0:59
5.0%	1608	-26.737815485004866	232.7805860736008	0.0444	0:59
5.0%	1609	-26.736637624201954	232.76169752878351	0.0444	0:59
5.0%	1610	-26.735460359382834	232.74281853882522	0.0444	0:59
5.0%	1611	-26.73428369220029	232.7239491330671	0.0444	0:59
5.0%	1612	-26.733107624305433	232.70508934179767	0.0444	0:59
5.0%	1613	-26.7319321573485	232.68623918949152	0.0444	0:59
5.0%	1614	-26.73075729297841	232.66739869526833	0.0444	0:59
5.0%	1615	-26.729583032843113	232.64856789595868	0.0444	0:59
5.0%	1616	-26.728409378588566	232.6297468100191	0.0444	0:59
5.1%	1617	-26.72723633186064	232.61093546717257	0.0444	0:59
5.1%	1618	-26.7260638943026	232.59213388899957	0.0444	0:59
5.1%	1619	-26.724892067557988	232.57334210571432	0.0444	0:59
5.1%	1620	-26.723720853267654	232.5545601485291	0.0444	0:59
5.1%	1621	-26.722550253072463	232.5357880376203	0.0444	0:59
5.1%	1622	-26.72138026861107	232.51702580016152	0.0444	0:59
5.1%	1623	-26.72021090152152	232.49827346314518	0.0444	0:59
5.1%	1624	-26.71904215344007	232.47953105632084	0.0444	0:59
5.1%	1625	-26.71787402600244	232.4607985971929	0.0444	0:59
5.1%	1626	-26.71670652084214	232.44207611535032	0.0444	0:59
5.1%	1627	-26.7155396395925	232.4233636430477	0.0444	0:59
5.1%	1628	-26.71437338388462	232.40466120188879	0.0444	0:59
5.1%	1629	-26.71320775534897	232.38596881798767	0.0444	0:59
5.1%	1630	-26.712042755614473	232.3672865198232	0.0444	0:59
5.1%	1631	-26.710878386308945	232.34861432955665	0.0444	0:59
5.1%	1632	-26.709714649058558	232.32995227299745	0.0444	0:59
5.1%	1633	-26.708551545488817	232.31130038278042	0.0444	0:59
5.1%	1634	-26.7073890772234	232.2926586804118	0.0443	0:59
5.1%	1635	-26.70622724588516	232.27402718687216	0.0443	0:59
5.1%	1636	-26.705066053095116	232.25540593561925	0.0443	0:59
5.1%	1637	-26.703905500473567	232.2367949518913	0.0443	0:59
5.1%	1638	-26.70274558963923	232.21819426006996	0.0443	0:59
5.1%	1639	-26.701586322209536	232.1996038864958	0.0443	0:59
5.1%	1640	-26.700427699800578	232.18102385232186	0.0443	0:59
5.1%	1641	-26.69926972402762	232.1624541867504	0.0443	0:59
5.1%	1642	-26.698112396503706	232.14389491863707	0.0443	0:59
5.1%	1643	-26.696955718841334	232.12534607307438	0.0443	0:59
5.1%	1644	-26.69579969265185	232.10680767452925	0.0443	0:59
5.1%	1645	-26.694644319544285	232.08827974907678	0.0443	0:59
5.1%	1646	-26.693489601127393	232.0697623210607	0.0443	0:59
5.1%	1647	-26.692335539008265	232.05125541624946	0.0443	0:59
5.2%	1648	-26.691182134792435	232.03275906660448	0.0443	0:59
5.2%	1649	-26.690029390084625	232.01427329092783	0.0443	0:59
5.2%	1650	-26.68887730648747	231.99579811914643	0.0443	0:59
5.2%	1651	-26.68772588560302	231.97733357496077	0.0443	0:59
5.2%	1652	-26.686575129031823	231.9588796818463	0.0443	0:59
5.2%	1653	-26.685425038372806	231.94043646582563	0.0443	0:59
5.2%	1654	-26.684275615223925	231.92200395530207	0.0443	0:59
5.2%	1655	-26.683126861181716	231.90358217824857	0.0443	0:59
5.2%	1656	-26.681978777840715	231.88517115713145	0.0443	0:59
5.2%	1657	-26.680831366795566	231.86677091446774	0.0443	0:59
5.2%	1658	-26.67968462963809	231.848381480981	0.0443	0:59
5.2%	1659	-26.678538567959595	231.83000287738633	0.0442	0:59
5.2%	1660	-26.67739318334986	231.81163513192138	0.0442	0:59
5.2%	1661	-26.676248477397248	231.79327827038355	0.0442	0:59
5.2%	1662	-26.67510445168863	231.77493231965158	0.0442	0:59
5.2%	1663	-26.67396110781013	231.75659730452122	0.0442	0:59
5.2%	1664	-26.672818447345822	231.73827324384453	0.0442	0:59
5.2%	1665	-26.67167647187852	231.71996016798735	0.0442	0:59
5.2%	1666	-26.670535182990175	231.70165810281466	0.0442	0:59
5.2%	1667	-26.6693945822608	231.68336707176	0.0442	0:59
5.2%	1668	-26.66825467126965	231.6650871007315	0.0442	0:59
5.2%	1669	-26.667115451593716	231.64681821769747	0.0442	0:59
5.2%	1670	-26.66597692480943	231.6285604440393	0.0442	0:59
5.2%	1671	-26.664839092491594	231.6103138096827	0.0442	0:59
5.2%	1672	-26.6637019562134	231.5920783374751	0.0442	0:59
5.2%	1673	-26.662565517547225	231.57385405103625	0.0442	0:59
5.2%	1674	-26.661429778063475	231.55564097583243	0.0442	0:59
5.2%	1675	-26.660294739331068	231.53743913978303	0.0442	0:59
5.2%	1676	-26.659160402918367	231.51924856669595	0.0442	0:59
5.2%	1677	-26.6580267703916	231.50106928158968	0.0442	0:59
5.2%	1678	-26.656893843315917	231.4829013110169	0.0442	0:59
5.2%	1679	-26.65576162325487	231.46474467401282	0.0442	0:59
5.2%	1680	-26.65463011177086	231.44659940546765	0.0442	0:59
5.3%	1681	-26.65349931042453	231.42846552192307	0.0442	0:59
5.3%	1682	-26.652369220775793	231.4103430504382	0.0442	0:59
5.3%	1683	-26.65123984438234	231.39223202017922	0.0442	0:59
5.3%	1684	-26.650111182801016	231.3741324485979	0.0442	0:59
5.3%	1685	-26.648983237586712	231.35604436624422	0.0442	0:59
5.3%	1686	-26.647856010293697	231.33796779849385	0.0442	0:59
5.3%	1687	-26.64672950247422	231.31990276865835	0.0442	0:59
5.3%	1688	-26.64560371567914	231.30184929761668	0.0442	0:59
5.3%	1689	-26.644478651458122	231.28380742013837	0.0441	0:59
5.3%	1690	-26.643354311359563	231.26577714939887	0.0441	0:59
5.3%	1691	-26.64223069692966	231.2477585178425	0.0441	0:59
5.3%	1692	-26.641107809714118	231.22975154867703	0.0441	0:59
5.3%	1693	-26.63998565125675	231.21175626500397	0.0441	0:59
5.3%	1694	-26.638864223099635	231.19377269271152	0.0441	0:59
5.3%	1695	-26.637743526784053	231.1758008547235	0.0441	0:59
5.3%	1696	-26.63662356384952	231.15784078050785	0.0441	0:59
5.3%	1697	-26.63550433583427	231.13989249154835	0.0441	0:59
5.3%	1698	-26.634385844274615	231.12195601591355	0.0441	0:59
5.3%	1699	-26.633268090706085	231.10403137176354	0.0441	0:59
5.3%	1700	-26.632151076662158	231.08611858223986	0.0441	0:59
5.3%	1701	-26.631034803675444	231.0682176820078	0.0441	0:59
5.3%	1702	-26.629919273276453	231.0503286872513	0.0441	0:59
5.3%	1703	-26.628804486995044	231.0324516218799	0.0441	0:59
5.3%	1704	-26.627690446358763	231.01458652071105	0.0441	0:59
5.3%	1705	-26.6265771528941	230.99673339750518	0.0441	0:59
5.3%	1706	-26.62546460812625	230.9788922819661	0.0441	0:59
5.3%	1707	-26.62435281357865	230.96106319614424	0.0441	0:59
5.3%	1708	-26.6232417707734	230.94324616825466	0.0441	0:59
5.3%	1709	-26.622131481231246	230.9254412209355	0.0441	0:59
5.3%	1710	-26.621021946471224	230.90764837333023	0.0441	0:59
5.3%	1711	-26.619913168010594	230.88986765260336	0.0441	0:59
5.3%	1712	-26.618805147366107	230.8720990893485	0.0441	0:59
5.4%	1713	-26.61769788605206	230.85434270073836	0.0441	0:59
5.4%	1714	-26.616591385581778	230.83659851693685	0.0441	0:59
5.4%	1715	-26.615485647466958	230.81886655422878	0.0441	0:59
5.4%	1716	-26.61438067321773	230.80114684084072	0.0441	0:59
5.4%	1717	-26.613276464343183	230.7834394061345	0.0441	0:59
5.4%	1718	-26.612173022350277	230.76574426654204	0.0441	0:59
5.4%	1719	-26.611070348744637	230.7480614431703	0.0441	0:59
5.4%	1720	-26.60996844503066	230.73039097244245	0.0441	0:59
5.4%	1721	-26.60886731271102	230.71273286851059	0.0441	0:59
5.4%	1722	-26.607766953286973	230.69508716147166	0.0441	0:59
5.4%	1723	-26.60666736825821	230.67745387286126	0.0441	0:59
5.4%	1724	-26.605568559123025	230.65983302750857	0.0441	0:59
5.4%	1725	-26.6044705273781	230.64222464661148	0.0441	0:59
5.4%	1726	-26.60337327451837	230.6246287550465	0.0441	0:59
5.4%	1727	-26.602276802037878	230.60704537954197	0.0441	0:59
5.4%	1728	-26.601181111428552	230.58947454026128	0.044	0:59
5.4%	1729	-26.600086204181167	230.57191626462605	0.044	0:59
5.4%	1730	-26.598992081784566	230.55437057484002	0.044	0:59
5.4%	1731	-26.59789874572676	230.53683749524996	0.044	0:59
5.4%	1732	-26.596806197493272	230.51931705230598	0.044	0:59
5.4%	1733	-26.595714438568944	230.50180926491595	0.044	0:59
5.4%	1734	-26.59462347043658	230.48431416038582	0.044	0:59
5.4%	1735	-26.593533294577824	230.46683176129432	0.044	0:59
5.4%	1736	-26.592443912472554	230.44936208704408	0.044	0:59
5.4%	1737	-26.591355325598872	230.43190516919188	0.044	0:59
5.4%	1738	-26.590267535433714	230.41446102548343	0.044	0:59
5.4%	1739	-26.589180543452525	230.39702968034464	0.044	0:59
5.4%	1740	-26.58809435112898	230.37961116189538	0.044	0:59
5.4%	1741	-26.587008959935115	230.36220548774665	0.044	0:59
5.4%	1742	-26.585924371341573	230.34481268995708	0.044	0:59
5.4%	1743	-26.584840586817535	230.32743278234753	0.044	0:59
5.5%	1744	-26.583757607830435	230.31006579414407	0.044	0:59
5.5%	1745	-26.58267543584612	230.2927117453219	0.044	0:59
5.5%	1746	-26.58159407232922	230.27537066464174	0.044	0:59
5.5%	1747	-26.580513518742308	230.25804257165694	0.044	0:59
5.5%	1748	-26.579433776546466	230.2407274899734	0.044	0:59
5.5%	1749	-26.578354847201947	230.22342543808043	0.044	0:59
5.5%	1750	-26.577276732166315	230.20613644988293	0.044	0:59
5.5%	1751	-26.57619943289643	230.18886054409418	0.044	0:59
5.5%	1752	-26.575122950846882	230.17159774358524	0.044	0:59
5.5%	1753	-26.574047287471426	230.15434806643455	0.044	0:59
5.5%	1754	-26.572972444221854	230.13711154342403	0.044	0:59
5.5%	1755	-26.571898422548042	230.11988819698612	0.044	0:59
5.5%	1756	-26.570825223898908	230.10267804822632	0.0439	0:59
5.5%	1757	-26.56975284972126	230.08548112179463	0.0439	0:59
5.5%	1758	-26.56868130146057	230.06829744008076	0.0439	0:59
5.5%	1759	-26.567610580560746	230.05112702455622	0.0439	0:59
5.5%	1760	-26.566540688464094	230.03396990164413	0.0439	0:59
5.5%	1761	-26.565471626611085	230.01682609020165	0.0439	0:59
5.5%	1762	-26.564403396441044	229.999695616447	0.0439	0:59
5.5%	1763	-26.56333599939098	229.98257850582664	0.0439	0:59
5.5%	1764	-26.562269436897235	229.96547477450466	0.0439	0:59
5.5%	1765	-26.561203710393464	229.9483844479418	0.0439	0:59
5.5%	1766	-26.560138821312705	229.93130755125074	0.0439	0:59
5.5%	1767	-26.559074771085907	229.91424410615102	0.0439	0:59
5.5%	1768	-26.558011561142493	229.89719413640162	0.0439	0:59
5.5%	1769	-26.556949192909954	229.8801576674582	0.0439	0:59
5.5%	1770	-26.555887667814606	229.8631347186652	0.0439	0:59
5.5%	1771	-26.55482698728122	229.84612531469998	0.0439	0:59
5.5%	1772	-26.55376715273224	229.82912947496789	0.0439	0:59
5.5%	1773	-26.55270816558925	229.81214722430104	0.0439	0:59
5.5%	1774	-26.55165002727176	229.79517859200806	0.0439	0:59
5.5%	1775	-26.550592739197825	229.77822358956934	0.0439	0:59
5.5%	1776	-26.54953630278394	229.7612822463532	0.0439	0:59
5.6%	1777	-26.54848071944461	229.74435458062214	0.0439	0:59
5.6%	1778	-26.54742599059311	229.72744062138958	0.0439	0:59
5.6%	1779	-26.54637211764105	229.71054038363383	0.0439	0:59
5.6%	1780	-26.545319101998142	229.69365389267705	0.0439	0:59
5.6%	1781	-26.544266945072224	229.67678117476768	0.0439	0:59
5.6%	1782	-26.54321564827034	229.65992225049925	0.0438	0:59
5.6%	1783	-26.5421652129971	229.64307714607358	0.0438	0:59
5.6%	1784	-26.541115640655715	229.62624587372053	0.0438	0:59
5.6%	1785	-26.540066932648088	229.60942846361507	0.0438	0:59
5.6%	1786	-26.539019090373575	229.5926249363212	0.0438	0:59
5.6%	1787	-26.537972115230897	229.57583531984056	0.0438	0:59
5.6%	1788	-26.536926008616394	229.55905962814376	0.0438	0:59
5.6%	1789	-26.53588077192524	229.54229788633822	0.0438	0:59
5.6%	1790	-26.534836406550312	229.5255501214616	0.0438	0:59
5.6%	1791	-26.533792913883648	229.50881634903055	0.0438	0:59
5.6%	1792	-26.53275029531477	229.49209659262254	0.0438	0:59
5.6%	1793	-26.531708552232363	229.47539087651944	0.0438	0:59
5.6%	1794	-26.530667686022657	229.45869922218296	0.0438	0:59
5.6%	1795	-26.529627698070684	229.44202165164637	0.0438	0:59
5.6%	1796	-26.528588589759803	229.4253581857425	0.0438	0:59
5.6%	1797	-26.52755036247135	229.4087088506018	0.0438	0:59
5.6%	1798	-26.526513017585184	229.39207366651635	0.0438	0:59
5.6%	1799	-26.525476556479674	229.37545265272317	0.0438	0:59
5.6%	1800	-26.524440980531352	229.35884583308146	0.0438	0:59
5.6%	1801	-26.52340629111472	229.34225323278454	0.0438	0:59
5.6%	1802	-26.522372489603104	229.32567487015106	0.0438	0:59
5.6%	1803	-26.521339577367787	229.3091107653055	0.0438	0:59
5.6%	1804	-26.520307555778324	229.29256094829788	0.0438	0:59
5.6%	1805	-26.51927642620301	229.27602543187587	0.0438	0:59
5.6%	1806	-26.5182461900082	229.2595042415503	0.0438	0:59
5.6%	1807	-26.517216848558295	229.2429973982919	0.0438	0:59
5.7%	1808	-26.516188403216216	229.2265049301863	0.0438	0:59
5.7%	1809	-26.515160855343268	229.21002685197084	0.0438	0:59
5.7%	1810	-26.51413420629891	229.19356318798899	0.0438	0:59
5.7%	1811	-26.513108457440858	229.17711395565308	0.0438	0:59
5.7%	1812	-26.512083610124968	229.16067917917965	0.0438	0:59
5.7%	1813	-26.511059665706032	229.1442588872057	0.0438	0:59
5.7%	1814	-26.510036625536323	229.12785309365452	0.0438	0:59
5.7%	1815	-26.50901449096682	229.1114618263608	0.0437	0:59
5.7%	1816	-26.50799326334674	229.09508509940537	0.0437	0:59
5.7%	1817	-26.50697294402346	229.07872294123592	0.0437	0:59
5.7%	1818	-26.505953534342748	229.06237536901025	0.0437	0:59
5.7%	1819	-26.504935035648785	229.04604240684844	0.0437	0:59
5.7%	1820	-26.50391744928324	229.02972407626686	0.0437	0:59
5.7%	1821	-26.502900776587072	229.01342039240512	0.0437	0:59
5.7%	1822	-26.50188501889932	228.9971313819402	0.0437	0:59
5.7%	1823	-26.500870177556397	228.98085706910985	0.0437	0:59
5.7%	1824	-26.499856253894155	228.96459747298243	0.0437	0:59
5.7%	1825	-26.498843249245855	228.94835261303825	0.0437	0:59
5.7%	1826	-26.497831164943573	228.93212251121227	0.0437	0:59
5.7%	1827	-26.496820002317072	228.91590719027238	0.0437	0:59
5.7%	1828	-26.495809762694652	228.89970666922	0.0437	0:59
5.7%	1829	-26.494800447403286	228.88352097193808	0.0437	0:59
5.7%	1830	-26.49379205776741	228.86735012060936	0.0438	0:59
5.7%	1831	-26.492784595110365	228.851194135211	0.0438	0:59
5.7%	1832	-26.491778060752935	228.83505303662568	0.0438	0:59
5.7%	1833	-26.490772456015243	228.81892684390996	0.0438	0:59
5.7%	1834	-26.489767782215	228.80281558161306	0.0438	0:59
5.7%	1835	-26.488764040667828	228.7867192680997	0.0438	0:59
5.7%	1836	-26.487761232688378	228.7706379256192	0.0438	0:59
5.7%	1837	-26.486759359588984	228.7545715747118	0.0438	0:59
5.7%	1838	-26.485758422680007	228.73852023680507	0.0438	0:59
5.7%	1839	-26.484758423271334	228.72248393393934	0.0438	0:59
5.8%	1840	-26.4837593626691	228.70646268900708	0.0438	0:59
5.8%	1841	-26.482761242179222	228.69045651681787	0.0438	0:59
5.8%	1842	-26.48176406310499	228.67446544146497	0.0438	0:59
5.8%	1843	-26.48076782674877	228.65848948328804	0.0438	0:59
5.8%	1844	-26.479772534409747	228.6425286625394	0.0438	0:59
5.8%	1845	-26.478778187387164	228.6265830027823	0.0438	0:59
5.8%	1846	-26.47778478697678	228.6106525209864	0.0438	0:59
5.8%	1847	-26.47679233447341	228.59473724322913	0.0438	0:59
5.8%	1848	-26.47580083117014	228.57883718693049	0.0438	0:59
5.8%	1849	-26.47481027835774	228.56295236942793	0.0438	0:59
5.8%	1850	-26.473820677326042	228.54708282073472	0.0438	0:59
5.8%	1851	-26.472832029361978	228.53122855652097	0.0438	0:59
5.8%	1852	-26.471844335751697	228.51538959341914	0.0438	0:59
5.8%	1853	-26.47085759777856	228.49956595529358	0.0437	0:59
5.8%	1854	-26.469871816725135	228.4837576650444	0.0437	0:59
5.8%	1855	-26.468886993871507	228.4679647401523	0.0437	0:59
5.8%	1856	-26.46790313049653	228.45218719867654	0.0437	0:59
5.8%	1857	-26.466920227876184	228.4364250649855	0.0437	0:59
5.8%	1858	-26.46593828728575	228.4206783626701	0.0437	0:59
5.8%	1859	-26.464957309998198	228.40494710462642	0.0437	0:59
5.8%	1860	-26.463977297284746	228.38923131273518	0.0437	0:59
5.8%	1861	-26.462998250414945	228.3735310074156	0.0437	0:59
5.8%	1862	-26.46202017065602	228.35784621616685	0.0437	0:59
5.8%	1863	-26.461043059274196	228.34217695027158	0.0437	0:59
5.8%	1864	-26.46006691753301	228.32652323679835	0.0437	0:59
5.8%	1865	-26.4590917466949	228.3108850892604	0.0437	0:59
5.8%	1866	-26.458117548020038	228.2952625330314	0.0437	0:59
5.8%	1867	-26.45714432276662	228.27965558857386	0.0437	0:59
5.8%	1868	-26.456172072191475	228.26406427492756	0.0437	0:59
5.8%	1869	-26.455200797549566	228.24848861521136	0.0437	0:59
5.8%	1870	-26.45423050009354	228.23292862460357	0.0437	0:59
5.8%	1871	-26.453261181074907	228.21738432290203	0.0437	0:59
5.8%	1872	-26.452292841742437	228.20185572988615	0.0437	0:59
5.9%	1873	-26.451325483343922	228.1863428689175	0.0437	0:59
5.9%	1874	-26.450359107124672	228.1708457584242	0.0437	0:59
5.9%	1875	-26.449393714328707	228.15536441733587	0.0437	0:59
5.9%	1876	-26.448429306197795	228.1398988693631	0.0437	0:59
5.9%	1877	-26.447465883971955	228.12444913301735	0.0437	0:59
5.9%	1878	-26.446503448889413	228.10901522001225	0.0437	0:59
5.9%	1879	-26.445542002186333	228.09359715708635	0.0437	0:59
5.9%	1880	-26.444581545097467	228.0781949715113	0.0437	0:59
5.9%	1881	-26.44362207885513	228.06280867367286	0.0437	0:59
5.9%	1882	-26.442663604690363	228.04743828022188	0.0437	0:59
5.9%	1883	-26.441706123832052	228.0320838209901	0.0437	0:59
5.9%	1884	-26.440749637506986	228.01674530334347	0.0437	0:59
5.9%	1885	-26.43979414694068	228.0014227572092	0.0437	0:59
5.9%	1886	-26.43883965335593	227.9861161983994	0.0437	0:59
5.9%	1887	-26.437886157974575	227.97082564865485	0.0438	0:59
5.9%	1888	-26.436933662016177	227.95555112343368	0.0438	0:59
5.9%	1889	-26.435982166698196	227.94029264711182	0.0438	0:59
5.9%	1890	-26.43503167323655	227.92505023653945	0.0438	0:59
5.9%	1891	-26.434082182845263	227.909823912971	0.0438	0:59
5.9%	1892	-26.433133696736267	227.8946136945526	0.0438	0:59
5.9%	1893	-26.432186216119472	227.8794195980973	0.0438	0:59
5.9%	1894	-26.431239742203726	227.86424164592898	0.0438	0:59
5.9%	1895	-26.430294276194978	227.84907985735094	0.0438	0:59
5.9%	1896	-26.429349819298	227.83393425096284	0.0438	0:59
5.9%	1897	-26.428406372715187	227.8188048459513	0.0438	0:59
5.9%	1898	-26.42746393764744	227.80369166290194	0.0438	0:59
5.9%	1899	-26.426522515293325	227.788594721261	0.0438	0:59
5.9%	1900	-26.425582106850545	227.77351403575312	0.0438	0:59
5.9%	1901	-26.424642713513123	227.75844962961867	0.0438	0:59
5.9%	1902	-26.423704336474916	227.743401519742	0.0438	0:59
5.9%	1903	-26.42276697692687	227.72836972472456	0.0438	0:59
6.0%	1904	-26.42183063605862	227.71335427053947	0.0438	0:59
6.0%	1905	-26.42089531505711	227.69835516863165	0.0438	0:59
6.0%	1906	-26.41996101510827	227.68337244719544	0.0438	0:59
6.0%	1907	-26.4190277373957	227.66840611448413	0.0438	0:59
6.0%	1908	-26.418095483101038	227.65345619277517	0.0438	0:59
6.0%	1909	-26.41716425340402	227.63852269958974	0.0438	0:59
6.0%	1910	-26.41623404948256	227.6236056603742	0.0438	0:59
6.0%	1911	-26.415304872512714	227.6087050860766	0.0438	0:59
6.0%	1912	-26.414376723668685	227.59382099951435	0.0438	0:59
6.0%	1913	-26.413449604122253	227.57895341804874	0.0438	0:59
6.0%	1914	-26.412523515043876	227.56410236587803	0.0438	0:59
6.0%	1915	-26.411598457601695	227.54926785144133	0.0438	0:59
6.0%	1916	-26.41067443296244	227.53444990419672	0.0438	0:59
6.0%	1917	-26.40975144229015	227.51964853746702	0.0438	0:59
6.0%	1918	-26.40882948674744	227.50486377282843	0.0438	0:59
6.0%	1919	-26.407908567495042	227.490095621796	0.0438	0:59
6.0%	1920	-26.406988685691534	227.4753441090081	0.0438	0:59
6.0%	1921	-26.406069842493338	227.46060925219066	0.0438	0:59
6.0%	1922	-26.405152039055704	227.445891071615	0.0438	0:59
6.0%	1923	-26.404235276531228	227.43118957983162	0.0438	0:59
6.0%	1924	-26.40331955607089	227.41650480091067	0.0438	0:59
6.0%	1925	-26.402404878823504	227.40183674970402	0.0438	0:59
6.0%	1926	-26.40149124593639	227.38718544371113	0.0438	0:59
6.0%	1927	-26.400578658554483	227.37255090765112	0.0438	0:59
6.0%	1928	-26.39966711782097	227.35793315553997	0.0438	0:59
6.0%	1929	-26.39875662487674	227.3433322048674	0.0438	0:59
6.0%	1930	-26.39784718086142	227.32874807949943	0.0438	0:59
6.0%	1931	-26.3969387869121	227.314180788253	0.0438	0:59
6.0%	1932	-26.396031444164063	227.29963035472593	0.0438	0:59
6.0%	1933	-26.395125153750765	227.28509679957597	0.0438	0:59
6.0%	1934	-26.394219916803653	227.2705801369511	0.0438	0:59
6.0%	1935	-26.39331573445213	227.25608038891505	0.0438	0:59
6.0%	1936	-26.39241260782367	227.24159756547806	0.0438	0:59
6.1%	1937	-26.391510538043647	227.22713169027725	0.0438	0:59
6.1%	1938	-26.390609526235956	227.21268278790183	0.0438	0:59
6.1%	1939	-26.389709573522165	227.19825086178852	0.0438	0:59
6.1%	1940	-26.388810681021553	227.18383594272623	0.0438	0:59
6.1%	1941	-26.387912849852313	227.1694380417926	0.0438	0:59
6.1%	1942	-26.38701608112958	227.1550571762568	0.0438	0:59
6.1%	1943	-26.386120375967813	227.1406933664924	0.0438	0:59
6.1%	1944	-26.385225735477768	227.12634662942617	0.0438	0:59
6.1%	1945	-26.384332160770068	227.1120169856674	0.0438	0:59
6.1%	1946	-26.383439652952106	227.09770445205126	0.0438	0:59
6.1%	1947	-26.38254821312968	227.08340904388191	0.0438	0:59
6.1%	1948	-26.38165784240693	227.06913077999533	0.0439	0:59
6.1%	1949	-26.380768541885274	227.05486968118123	0.0439	0:59
6.1%	1950	-26.379880312665048	227.0406257580887	0.0439	0:59
6.1%	1951	-26.378993155843492	227.02639903421553	0.0439	0:59
6.1%	1952	-26.37810707251724	227.01218952305712	0.0439	0:59
6.1%	1953	-26.377222063779538	226.99799724522836	0.0439	0:59
6.1%	1954	-26.37633813072275	226.98382222102845	0.0439	0:59
6.1%	1955	-26.375455274436494	226.96966446305763	0.0439	0:59
6.1%	1956	-26.374573496008807	226.955523985068	0.0439	0:59
6.1%	1957	-26.37369279652565	226.941400810389	0.0439	0:59
6.1%	1958	-26.372813177070782	226.92729496014735	0.0439	0:59
6.1%	1959	-26.371934638726497	226.91320644036261	0.0439	0:59
6.1%	1960	-26.371057182572233	226.8991352776527	0.0439	0:59
6.1%	1961	-26.370180809686328	226.88508148892623	0.0439	0:59
6.1%	1962	-26.369305521144213	226.87104508785455	0.0439	0:59
6.1%	1963	-26.368431318020143	226.85702609322715	0.0439	0:59
